28	188	773	2716	5514	10827	18749	27560	39242	54232	69544	86845	104157	123011	142227	160298	177615	194857	114985	130744	146589	162836	121580	136157	149921	163509	137785	150847	163146	144781	156732	143019	154248	144196	154709	146657	156594	150229	145003	154420	150108	146941	155635	152833	150790	149278	157120	155720	154583	153923	153581
78	567	2501	9065	18653	36518	62723	90942	127087	170987	213623	259643	302398	348285	391282	238824	277598	316233	243089	278253	312935	269351	300251	271044	300937	280555	308846	294744	284795	309876	302984	297558	295306	294434	294163	295324	296642	298981	301841	305656	309194	299589	304478	309462	302855	308759	303674	309504	305856	312173	309769
166	1177	5239	18698	38098	74203	125726	180265	247878	327152	401339	477962	547630	331275	399599	464902	526502	420049	479633	417649	471235	434752	482491	457324	440694	430483	474315	469399	466576	465865	468952	441333	449062	457574	465921	452636	462646	453760	465044	459864	455708	453333	466579	465673	465902	467304	457456	460181	463433	467417	462270
296	1980	8792	31093	63265	122357	204713	290478	393883	511870	618959	726221	436095	537651	634423	501971	586537	670122	595113	549829	623327	598190	579362	573139	571583	574629	582046	592573	603040	613983	593198	608399	595967	615094	607147	603386	601525	622300	622363	607319	611434	616634	623141	615771	623610	619964	616792	615064	625328	625701	626531
464	3020	12944	45884	93337	179522	297481	417497	559483	717787	858390	996350	636357	769980	615121	731357	840560	750658	702751	800819	769642	758667	750230	754195	761960	773720	734270	756675	778411	757851	747484	773459	769140	768885	769877	774275	756577	765611	775070	767947	779838	776309	774875	775177	776846	780812	771860	776806	782851	779179	776865
651	4165	17999	63974	129650	246657	404910	562692	746029	945391	1119123	704773	862344	1027745	843296	987417	883081	830348	958762	927549	915190	920044	923864	939439	886224	913551	886403	921841	907695	899509	900711	902777	910359	921044	932002	919669	934987	929597	926593	927805	929901	934471	924812	932728	927786	939345	937201	937012	938373	941854	935560
877	5618	24882	88390	177762	334387	541370	742441	969928	1211593	740131	944569	1133901	937591	1119815	1012966	958039	1111410	1088103	1080982	1087028	1008438	1034999	1071690	1037639	1080180	1066557	1063677	1064422	1069588	1044902	1059842	1079734	1071839	1067026	1067967	1070882	1077206	1065094	1077782	1071767	1070062	1071428	1073966	1078628	1085826	1080257	1089032	1087726	1088506	1090727
1135	7391	32563	114655	229352	428019	685781	931478	1203608	1486544	950865	1193297	1413260	1193437	1090244	1285764	1224430	1204090	1209385	1225120	1250331	1186401	1226499	1196298	1180055	1176093	1182708	1196698	1212248	1188750	1216584	1206913	1207138	1212887	1219687	1231431	1220686	1216081	1214305	1218016	1222300	1229857	1224112	1235321	1234437	1236845	1239259	1232094	1239022	1237158	1246829
1435	9254	41077	143651	286576	530897	843346	1134828	1451249	1774191	1179163	1458685	1207020	1465289	1352728	1301767	1285695	1298304	1330674	1368871	1297694	1365304	1329199	1320509	1322179	1333359	1353303	1379730	1359748	1348437	1350504	1353733	1365993	1382446	1371478	1368898	1369198	1374810	1382555	1375830	1389014	1388125	1390826	1380344	1388137	1385628	1396319	1396628	1399409	1394016	1400608
1737	11443	51144	178400	353742	647757	1017238	1355903	1716330	1114588	1428426	1742894	1467853	1366707	1636114	1582087	1566222	1401713	1460420	1520537	1467269	1451931	1527490	1529842	1471352	1497750	1532041	1519617	1514579	1515823	1529533	1508102	1500880	1529792	1530691	1513916	1525121	1519695	1537771	1522240	1527393	1536964	1533587	1532711	1535662	1542061	1548333	1545073	1544775	1547560	1551679
