42	342	1442	4967	9771	18655	31507	45377	63480	85765	107412	131914	156396	182913	209245	234337	127897	149126	171150	192452	213494	160491	178607	197797	164323	181678	199224	176086	191991	175016	190522	177356	191903	181689	195268	187054	199864	193256	187956	200027	195570	192334	203674	200722	198650	197381	196041	205878	205014	204310	204011	204053	204079	204597	205152	205563	206455	207433	208218	209454	210617	211892	213112	214363	209983	211440	213151	214743	216217	212875	214426
116	997	4570	15821	31249	59569	99425	141451	193505	255846	314632	377465	437781	500290	293984	347021	398610	302869	350981	397662	339245	384035	344878	385583	359637	396883	378707	367146	359055	391008	385954	382157	381013	381724	383317	386181	389299	393299	397841	384737	390550	397203	404236	395734	403057	397612	405107	400859	408940	405957	403664	412177	410863	410103	409857	409778	410256	411133	419644	420914	414854	416656	418292	420358	422377	424484	427185	423774	426302	429115	426521
240	1978	8805	30956	61639	116203	191910	270283	365218	474893	576401	681467	778155	476822	567921	655660	513451	592623	515067	587899	538236	609122	573667	554590	543475	601277	595070	594231	594737	597787	564951	574314	586171	598667	581437	596277	585194	600950	593814	590059	606578	604439	604311	604992	606870	610046	613023	603603	608384	614257	619855	615206	621938	618960	626586	624275	623314	622935	630971	631599	632291	633722	635031	637194	639306	641272	637829	640502	643427	646927	644480
444	3131	14137	49400	98597	185024	302278	422461	565439	726389	871727	1018567	618351	752671	882241	702586	814660	715365	822561	761848	727408	713097	798284	789366	786964	789976	799452	755079	772251	789686	767719	789175	776647	802772	795390	792519	791552	793414	796659	802900	808706	816678	807141	817283	811398	824214	820543	818896	818818	820328	822471	825555	829619	834138	839575	834470	841029	838480	845246	844198	851856	852163	852234	853556	855111	856738	859606	861947	864766	868214	865036
636	4595	20660	71466	141728	264627	429999	596385	790572	1005026	1194739	719278	884775	1062383	851518	1004605	886570	1026859	961631	925560	909685	912632	915021	930337	948574	970344	996736	963557	994371	973568	964575	999947	997423	999694	1003697	980499	991156	1004169	992444	1009600	1003423	1001583	1002114	1022430	1025978	1014920	1020717	1027922	1022115	1032218	1029511	1041025	1040690	1041976	1044534	1046517	1050708	1055813	1060188	1057481	1063677	1062998	1070034	1070346	1070990	1071758	1074061	1075753	1078442	1081820	1084902
844	6174	27999	96431	191144	355638	574153	790671	1039608	1308998	1543729	972278	1181114	1400796	1148781	1023643	1197383	1126023	1096284	1251296	1233474	1112439	1129357	1159967	1192394	1147650	1191940	1172188	1218483	1207021	1207688	1209487	1218859	1193898	1210428	1229897	1218423	1213197	1237955	1239328	1241277	1224766	1234348	1244647	1238033	1252764	1249660	1249383	1251054	1255206	1260204	1266688	1274207	1270373	1280380	1278492	1279145	1281298	1292717	1296486	1291291	1297092	1302599	1301152	1307958	1306973	1315507	1315818	1317086	1319918	1322156
1120	8061	36455	125538	248623	459858	736897	1007854	1313587	1639484	987842	1256587	1508450	1237376	1478564	1332205	1256859	1458945	1425920	1414849	1421450	1449060	1351086	1398342	1446023	1408521	1390163	1385209	1386174	1391662	1407837	1423490	1446232	1431064	1421282	1453632	1452531	1456625	1435694	1448567	1461379	1454526	1473802	1472422	1474344	1480176	1485255	1476389	1486755	1484182	1497484	1498411	1500544	1504800	1510703	1504624	1512840	1511918	1520725	1521804	1523302	1527113	1530688	1535833	1541110	1538729	1546547	1545595	1553674	1555661	1557158
1520	10564	47301	162603	319911	587072	931364	1261510	1627290	2010520	1265904	1586802	1882031	1575516	1434551	1692194	1607779	1578239	1583040	1602306	1634129	1548387	1600979	1560611	1631306	1614646	1614178	1625956	1640434	1601280	1634114	1616063	1655387	1655333	1658468	1634539	1648997	1667689	1659419	1658940	1659623	1665367	1674844	1685596	1679506	1697264	1695695	1697528	1702124	1709733	1704136	1715467	1714373	1715832	1719487	1723024	1729280	1737036	1733830	1744009	1744165	1747180	1749911	1755132	1760171	1765517	1765518	1772434	1772846	1775474	1777449
1876	13214	58786	202015	396286	723116	1137723	1528077	1952696	2391700	1558063	1929595	1585292	1926135	1768902	1698408	1673583	1688527	1729682	1778890	1836627	1770455	1841980	1814712	1804922	1809144	1827689	1856110	1821522	1856747	1849355	1844990	1853590	1868934	1848043	1873282	1866183	1867039	1871646	1883229	1895182	1887522	1886295	1908235	1912638	1903237	1912206	1924105	1922343	1924902	1928848	1935481	1930750	1941326	1941822	1953659	1957298	1951973	1957064	1965510	1964062	1975011	1976259	1980002	1984316	1988826	1988686	1995254	1995783	1998436	2000451
2270	15838	70718	243374	476591	865427	1351375	1802805	2287742	1449795	1861935	2283916	1901471	1759233	2114744	2038630	2012796	2031633	2079987	1945395	2029505	1984991	2076532	2064062	2066696	1994856	2032355	2078347	2057200	2047093	2055905	2065901	2087823	2073402	2065283	2067998	2074421	2087903	2103875	2098902	2096330	2100905	2110385	2121643	2116553	2136590	2137164	2141549	2149388	2145710	2144098	2160009	2163793	2170061	2166363	2174711	2175325	2178242	2180687	2187373	2193558	2193793	2202827	2205557	2208681	2211997	2218733	2224331	2224375	2226563	2234900
