18	150	693	2475	4940	9347	16092	23033	31854	42828	53327	64857	76245	88546	100611	112007	122975	73237	83023	92490	102085	78373	86433	94994	103095	87372	95270	102878	91926	98693	90868	97280	91400	97557	92748	98536	94743	100319	96989	102393	99719	97605	102404	100644	99118	103716	102363	101425	100502	104783	104040
84	518	2205	7817	15527	29140	48849	68901	93406	122351	149485	178079	204996	232697	140847	163860	186791	209245	165504	185749	205529	179952	197202	180275	197000	184864	176793	192251	186057	181566	195501	192326	190501	189499	189071	189364	200776	201229	192164	193877	195397	197342	199471	201522	203810	199537	201995	204637	201550	204277	207124
152	981	4225	15070	30159	56681	93579	130384	174101	224003	269519	315865	358377	225337	265106	302803	241592	275283	308692	273010	302843	281506	266532	293368	283697	277606	274747	297918	295701	294792	296055	297370	300015	288389	292544	297140	301553	295471	300642	296515	302112	299206	305608	303598	302281	308910	308008	307593	307797	308443	309037
240	1592	6797	24101	48060	88958	145147	200618	265037	336941	401476	465111	289590	346220	401662	325069	372194	330647	375543	349727	389868	375278	364597	360598	394615	391981	392554	394853	397954	379816	387254	393731	384524	393638	402303	396997	393355	403383	401182	400830	400398	401214	403051	404677	407124	410010	412515	415608	411956	415764	419550
336	2227	9666	34008	67820	125209	202163	277232	363216	457558	539980	620694	402749	476420	547153	451843	512065	459879	432732	485650	467688	460770	455807	457268	460627	466467	474072	483334	492703	477688	490612	481598	495132	491133	488528	503003	502369	503504	505160	508135	510983	504601	509615	514730	511464	517808	515593	514144	520817	520823	521183
444	2932	12747	44712	88796	163707	262617	357785	465496	581490	681540	433272	519755	609976	504852	583094	523495	593882	562254	544842	537332	597736	592156	594458	598829	567343	580400	594461	579157	594234	587249	581630	600305	599583	599780	602308	605350	609883	601397	608466	615038	611231	609230	618111	617536	618345	619164	620563	622713	625866	629137
592	3735	16535	57701	114265	209488	333212	450454	580964	719820	838637	551008	654665	761141	640098	732228	663791	630175	710796	690350	681891	684273	686259	695934	661979	678263	696754	682626	673342	694748	692515	691280	694112	698542	703711	694043	702247	711771	707150	705573	716880	717000	718888	721087	724329	728717	723779	728793	734541	733120	732249
756	4921	21393	74536	146885	266575	419474	561965	717551	880747	559978	691907	813596	683700	799409	730772	695825	791156	775829	770531	773902	786408	796501	762597	784863	767161	794124	787873	784909	785004	790507	795698	804652	795449	806902	802926	800650	801175	816679	806906	810957	816717	823506	820174	828720	828704	828678	829754	832146	835233	839201
924	6123	26486	91737	179882	324519	506647	674519	855730	1043182	682302	835383	974993	829311	764452	884724	845722	831744	834355	843146	858101	881238	841969	872142	855567	888130	883738	885183	889069	895108	880643	892624	886201	903804	901709	903782	906500	911986	917826	913146	921971	920190	920842	932725	935200	939408	934185	939234	945452	945075	952660
1084	7322	31745	109500	213723	383673	595501	788639	994625	1205268	805390	979187	818599	975647	903835	1039531	996709	981773	985361	995317	935115	968641	995656	974628	964039	1003023	1003620	975045	985646	997737	988146	1005278	1002876	1004868	1007662	1014267	1021403	1015126	1025785	1025190	1038209	1040103	1044064	1037924	1044417	1052534	1050410	1059046	1059845	1062596	1065881
