52	302	1271	4439	9025	17513	29906	43315	60209	81124	101285	123486	144736	167305	189027	108702	127134	146145	165210	125473	142768	159885	134457	150170	165488	148229	162758	150967	164246	154811	167702	160469	155396	167123	163057	160082	157775	156468	166391	165484	164592	164504	164765	165103	165675	166537	167288	168183	169469	170834	166257
146	977	4026	14675	29914	57112	95885	136680	186154	243461	296262	350036	398913	247775	296164	342065	268580	311207	352734	309740	347247	321021	302241	336013	324196	316980	313865	313419	313770	315245	319052	322319	327228	332856	321743	328655	335255	328826	336161	332183	339889	337146	335564	334262	334072	343068	343026	343573	344753	339187	341119
284	1972	8559	29946	60853	115333	190077	266468	355500	453925	541401	627116	401288	483841	387601	459627	527192	471282	440907	500871	480986	473871	468145	469800	474108	480640	489537	500452	481637	494054	484082	498217	492718	490155	488771	506113	506622	494304	497518	502485	507299	501749	508636	505418	512926	511730	510592	510631	511410	513262	515167
450	3223	14110	49550	99757	187138	304369	420656	552354	693093	814444	529078	640280	521073	628850	564376	657578	621142	606440	600845	679392	615918	625276	641717	658866	634381	657730	646507	671170	664684	664804	665257	669736	676324	664064	674067	667246	679214	676147	676302	676834	679281	683012	687090	681873	688622	685599	692865	691913	692651	693705
698	4815	20929	73015	146542	271761	436574	595519	771498	954695	603488	760531	904161	759125	897384	819237	778198	764866	768046	777234	793402	818915	838529	808483	839775	825115	819506	820573	824235	830123	841446	826219	841899	837073	834777	836148	838992	844567	850632	845229	854090	852153	852069	853273	855891	860427	864611	869861	867215	866833	874787
996	6882	30109	104904	208290	381298	601938	808240	1030295	1254795	841956	1035896	863097	1042250	964761	930017	918720	927368	950337	975748	926184	972689	946846	995342	989373	991271	960849	978687	963942	984491	982410	981887	987364	996424	986265	999704	996210	997203	999669	1005519	1011420	1007207	1017719	1017262	1018963	1022951	1026927	1023002	1029456	1029557	1030206
1394	9543	41586	143621	281932	509188	789975	1044539	1312702	874978	1108058	934576	1141680	1068690	1046332	1048452	1064823	1097185	1140663	1089977	1144755	1133563	1124884	1133743	1099380	1121867	1110544	1144085	1143345	1146487	1131908	1145123	1140785	1141759	1145145	1152868	1144913	1157803	1156554	1159894	1163781	1158523	1168109	1167619	1169655	1174241	1178559	1184098	1182845	1183913	1186249
1842	12597	55028	188604	366573	652321	996886	1301556	1614073	1121883	1395420	1201331	1117781	1362201	1339163	1170613	1214606	1270200	1227825	1209692	1287784	1230447	1245658	1276485	1260513	1256512	1263680	1278480	1263815	1283950	1285633	1288167	1298394	1292139	1289458	1292838	1297775	1307300	1303803	1305720	1320612	1314365	1323219	1322155	1324204	1329420	1334035	1340257	1340030	1342546	1346056
2316	16277	70551	239843	461507	810540	1221313	1575284	1026904	1388549	1182926	1488398	1397355	1393808	1421637	1464727	1367014	1446589	1423172	1420255	1433632	1397865	1430180	1422197	1424999	1436764	1419833	1416221	1417779	1424319	1441652	1433907	1436615	1445302	1455380	1453069	1454184	1460432	1454502	1467719	1468056	1473320	1470269	1479823	1481932	1487553	1483512	1490883	1492218	1496516	1501424
2902	20300	87429	295445	564432	980027	1458400	1861415	1257524	1671302	1446075	1386222	1693436	1436794	1509587	1588166	1520778	1503935	1517802	1543795	1581565	1567265	1556973	1571193	1592124	1577072	1578327	1590752	1575287	1596069	1601433	1583655	1600482	1601819	1605702	1616497	1612811	1615592	1620836	1618700	1630600	1634565	1631205	1640164	1642424	1648465	1645316	1653330	1655504	1661124	1667077
