22	170	868	3042	6030	11568	19501	28199	39261	53120	66811	82172	96922	113279	129090	144384	158585	92954	106530	119679	132180	144974	111269	122717	133780	144350	123287	133503	143072	127657	137027	145806	134401	143167	134033	142132	134696	142394	136276	143758	138702	145581	141378	147936	144268	150609	147240	144643	150548	148139	146100	151585	149750	148087	153384	151959	150704	155564	154344	153250	157851	156905	155913	154972	159406	158632	157903	157164	161098	160466	159760
86	622	2770	9554	19302	37037	62021	88563	121366	160220	197294	236002	272152	310036	344832	220266	251418	281928	224204	252399	279470	244833	268908	293172	268666	291033	273756	262331	282468	272965	292493	285353	280367	277372	294025	291714	289750	288934	288673	289255	290039	291238	292943	294614	296690	299032	301191	303428	305752	308519	302563	305559	308523	311380	307175	310182	313386	316515	312971	316124	319196	316514	319565	322690	320114	323046	321151	324260	327312	325536	328489
166	1217	5388	19021	38094	72907	120503	170206	229393	297163	359330	422377	478752	303427	358681	410441	458403	375727	422241	374724	416269	387192	423719	403930	390903	424780	415987	411186	408289	437217	436142	435838	437722	440813	422698	428007	433241	439374	445043	436331	442957	450038	443908	451215	446753	454902	451610	459287	456873	455341	463054	462207	461738	461549	461983	469618	470185	470781	471381	472511	473540	475153	476285	477765	479194	480664	482428	483926	485755	487466	488929
278	2105	9183	32166	63726	120292	195790	272652	362386	461047	549222	636109	403598	484525	560670	459100	525321	589304	531906	497900	553764	534298	519511	569523	561804	558117	558896	562737	567196	572393	580696	560434	571388	582810	571574	584169	576933	590180	585560	583147	596172	595090	595256	595791	597316	599904	602072	604733	607810	611610	615328	610474	615043	619639	624427	621102	626452	624351	629560	635045	633512	639300	638138	643685	643209	642879	648665	648461	653898	654093	654033
438	3083	13483	47474	93955	175699	283666	390354	512065	643033	756835	481243	581689	686305	567551	657970	741559	673502	637438	711260	688264	679268	672927	675169	680662	688338	699899	712813	725405	704574	721954	709224	727951	721977	717958	738055	736891	737949	739678	743384	746683	751652	743562	750054	757045	752957	760541	768247	765664	764456	773678	773473	773787	783342	784620	785784	787678	789931	791830	794773	797446	800478	803372	806885	810181	813285	817078	820218	818103	821843	825320
580	4169	18425	64892	128300	237842	380624	518197	672284	834774	972667	647719	771215	897971	758736	867685	790691	751483	847464	824889	814890	817780	820403	831707	844902	860036	832279	855068	838547	861667	855025	879134	876622	877362	879205	883719	888726	895783	884883	894980	904205	899200	896752	908742	907912	909065	921824	923168	925607	928971	932705	936921	932316	937719	943163	948475	946567	953077	959012	958482	965174	965342	971881	972355	973076	979945	981204	987988	988969	990545	991714
764	5400	23866	83534	165018	304108	482744	652107	838335	1031451	1192690	820927	966717	817286	956486	877205	995654	952047	934176	929049	933178	948323	960592	981486	1002945	972771	1001530	988355	1018688	1010685	1010658	1010570	1016015	1023894	1032014	1019914	1031661	1045049	1039485	1037511	1052744	1053238	1055691	1058515	1062850	1068785	1074290	1080534	1076264	1084685	1082661	1091637	1091286	1100750	1101697	1102747	1113192	1115443	1117596	1120702	1123766	1127568	1130850	1134892	1139110	1142994	1147569	1151754	1155962	1160843	1159366
948	6749	29973	104201	204749	374565	589060	789881	1006819	1228632	809847	997547	1164036	997810	1155492	1067944	1023133	1153600	1134882	1129611	1134908	1068507	1090833	1121562	1092217	1127186	1114691	1155057	1150468	1149347	1156043	1162323	1173541	1159655	1174781	1167728	1185386	1183544	1183730	1187397	1190593	1196694	1204434	1211896	1206817	1217916	1227885	1226262	1226275	1239298	1241208	1244228	1247826	1251845	1257119	1261485	1267167	1273383	1278629	1277394	1283626	1290940	1290421	1297573	1298159	1305502	1307093	1314403	1315650	1317619	1324873
1272	8741	37973	131530	257627	467125	726741	964921	1217154	1470591	1004987	1220499	1030578	1226315	1143116	1308943	1260031	1243679	1249218	1262543	1283556	1229838	1263313	1237301	1282666	1271064	1269910	1276188	1283946	1294373	1311342	1294822	1316418	1312296	1310389	1313285	1339342	1324932	1333373	1344834	1355274	1351845	1366586	1366142	1368069	1372276	1376252	1381292	1387705	1395551	1403558	1402116	1411630	1411588	1422207	1422857	1425283	1436856	1439298	1443559	1447158	1452061	1456661	1461853	1467065	1472294	1478289	1483588	1483232	1489662	1495360
1610	11089	48054	165246	321261	576459	886230	1165065	1454403	980102	1227316	1470934	1263564	1483238	1393130	1353498	1342512	1354335	1382271	1414364	1355109	1410918	1380675	1438154	1431718	1433691	1444341	1416972	1437703	1459447	1452418	1447850	1451199	1458965	1467330	1479835	1492551	1487732	1504429	1505673	1507117	1512216	1519695	1527487	1523193	1535488	1533667	1546218	1548028	1551693	1566267	1571560	1577338	1574305	1582057	1589073	1597466	1598380	1606874	1609179	1618487	1621507	1624225	1628084	1638516	1641510	1646416	1650062	1654404	1659362	1663601
