68	345	1269	4385	8550	16463	27710	39868	55154	73703	91908	111802	131339	152635	173036	192120	110762	127487	144855	161229	177031	136801	150818	165314	139539	152850	165964	148286	160378	146679	158544	169403	158865	169656	161042	171060	163960	173665	167832	163198	171909	168134	176606	173023	170105	178184	175458	173304	171682	179019	177444	176270	175181	181776	180720	179707	179069	185493	184662	184137	183630	183417	189051	188574	188150	187890	187808	187456	192437	192150	191914
172	974	3965	14043	27891	53225	87807	124226	168618	220068	268542	318309	364794	215884	258611	300019	339709	267684	305731	341462	297332	331408	301545	332526	312390	340750	326453	316918	342378	334183	329984	326513	325309	347746	346654	346817	347426	349108	350993	353846	341439	345372	349531	353432	357652	350453	355012	359382	363989	358841	363900	359768	365090	370318	366966	371857	368986	374312	371813	376902	374817	379993	378275	376833	381764	380251	385217	383903	383110	387998	387030
300	1876	7768	27848	55079	103867	170339	237854	317527	407540	488760	570098	345730	419214	490394	557095	452017	513282	456074	511377	473956	453857	500637	485924	477514	521149	516008	514927	515000	516407	521110	496589	504761	513939	522344	510213	520064	530896	522849	534529	528789	525002	537113	534856	533336	545801	545100	544928	545617	546970	548601	550600	552744	555393	558200	560494	563593	566952	569836	565675	568930	572887	576477	580304	577263	580993	584748	582215	585845	589700	593248
484	2950	12625	44817	88692	166138	269440	372255	491010	621244	735322	847906	551130	655648	754713	622328	708310	635653	596885	672806	647061	636761	628623	693864	692071	694211	652431	665447	678091	691116	672796	688731	706003	696444	689293	708887	705043	704066	703714	706046	708209	711939	716636	721445	727242	733997	726959	734013	741480	737700	745812	743603	752124	750570	750003	758560	758668	759266	767914	768850	769821	771758	773042	775044	777090	785793	788070	789935	792062	794452	796456
706	4288	18284	64815	128157	238177	382741	523761	683633	854991	1002105	648883	779897	914826	761894	878583	793221	748775	852739	827010	815042	817253	818835	830020	843764	859886	827798	852196	875288	857917	849542	875575	872033	872047	873238	877583	882788	890145	897813	888135	898004	909124	904584	916963	914445	914503	914153	928151	929783	932281	935659	939594	943768	948558	944272	949369	955316	961619	958537	965377	971429	970443	977113	976598	983413	982711	990249	989803	996917	997447	997649
926	5794	24852	87657	172939	319452	508350	689270	890989	1103170	1282346	863812	1025815	854908	1009630	917907	1051594	1000462	979141	972109	976153	992801	1005563	1028117	1052179	1017012	1049740	1033256	1022734	1057609	1056567	1056365	1061986	1070287	1050693	1064402	1077583	1069601	1085564	1083032	1081269	1082223	1103046	1106045	1110374	1101888	1108540	1115968	1124349	1121045	1130796	1129424	1139947	1140062	1141260	1152211	1154184	1156601	1158904	1162297	1165316	1169947	1173791	1178297	1182632	1187006	1192100	1196567	1201096	1206398	1204367
1176	7406	31775	111825	220548	405501	641703	863832	1107633	1360031	878263	1089859	1280871	1085858	1267877	1163790	1110509	1091024	1239135	1231935	1126856	1159143	1185224	1219988	1184675	1225388	1209873	1204709	1203954	1206469	1217039	1226935	1242568	1228758	1248086	1241781	1264023	1263338	1264530	1269980	1275140	1282864	1292598	1285272	1297089	1295140	1308109	1307375	1308576	1324563	1327506	1331861	1336813	1342432	1338315	1344481	1352433	1360531	1358404	1367706	1366702	1376351	1376265	1386005	1387379	1396500	1398912	1400558	1402697	1412737	1415038
1464	9232	39565	138738	273019	499053	783915	1049217	1335991	1628250	1082054	1328907	1105462	1329993	1229000	1422713	1363710	1343409	1348045	1363269	1388001	1323588	1362559	1410449	1382541	1368418	1366645	1373654	1383461	1395330	1415063	1433366	1421308	1416370	1444238	1445459	1448279	1455432	1463942	1454020	1466485	1461603	1479530	1478868	1480872	1485950	1505866	1510801	1503845	1513082	1522421	1520393	1531719	1531710	1544456	1545360	1548265	1562140	1564728	1569600	1574069	1579907	1585141	1591477	1597549	1603329	1602636	1608806	1615725	1616089	1622820
1754	11177	48002	167585	328925	598020	933285	1241088	1569850	1899332	1294098	1575209	1326597	1581638	1470363	1420838	1405421	1603485	1450085	1486477	1530409	1585635	1533739	1511616	1576766	1570449	1576152	1590863	1606880	1578286	1607804	1594254	1592178	1596244	1633138	1612608	1624411	1640039	1631651	1652894	1650784	1653069	1658591	1665073	1673922	1685392	1695731	1692075	1705612	1706802	1721981	1725458	1729890	1735618	1742347	1748325	1756124	1754764	1762864	1773096	1773245	1784067	1785143	1796763	1799203	1809886	1813783	1816484	1820448	1824888	1836232
2120	13466	57892	202476	396134	715119	1106851	1460814	1833396	1219159	1538355	1854566	1582076	1480137	1746618	1693359	1677631	1693389	1730517	1631119	1694061	1767735	1727653	1716763	1717819	1727845	1748467	1776679	1752167	1784839	1780745	1778344	1786591	1800238	1814635	1803454	1824811	1822826	1823813	1830982	1838020	1848888	1862772	1857778	1874923	1876973	1878967	1883150	1904106	1898130	1907179	1917990	1929142	1929121	1931223	1943852	1947781	1952831	1967290	1973766	1979375	1987062	1984633	1993159	2001595	2009310	2010935	2019556	2028603	2031167	2040150
